RATE,TIME
16.61,252743788.1492
16.74,252743888.1492
16.35,252743988.1492
16.96,252744088.1492
16.77,252744188.1492
17.02,252744288.1492
16.02,252744388.1492
16.83,252744488.1492
16.46,252744588.1492
16.37,252744688.1492
16.06,252744788.1492
16.84,252744888.1492
16.33,252744988.1492
16.48,252745088.1492
16.32,252745188.1492
15.54,252745288.1492
16.72,252745388.1492
16.28,252745488.1492
16.39,252745588.1492
16.19,252745688.1492
16.01,252745788.1492
15.71,252745888.1492
16.1,252745988.1492
16.22,252746088.1492
16.7,252746188.1492
16.39,252746288.1492
16.04,252746388.1492
15.86,252746488.1492
15.8,252746588.1492
15.81,252746688.1492
16.31,252746788.1492
16.01,252746888.1492
16.42,252746988.1492
16.14,252747088.1492
15.61,252747188.1492
15.89,252747288.1492
15.88,252747388.1492
16.3,252747488.1492
16.41,252747588.1492
16.27,252747688.1492
17.22,252747788.1492
16.31,252747888.1492
17.17,252747988.1492
16.91,252748088.1492
16.28,252748188.1492
17.55,252748288.1492
16.14,252748388.1492
15.48,252748488.1492
15.74,252748588.1492
16.48,252748688.1492
16.07,252748788.1492
14.76,252748888.1492
16.13,252748988.1492
15.45,252749088.1492
15.25,252749188.1492
15.09,252749288.1492
15.29,252749388.1492
14.92,252749488.1492
14.92,252749588.1492
15.01,252749688.1492
14.62,252749788.1492
14.81,252749888.1492
14.62,252749988.1492
14.37,252750088.1492
14.82,252750188.1492
15.05,252750288.1492
14.98,252750388.1492
15.49,252750488.1492
14.44,252750588.1492
15.22,252750688.1492
14.95,252750788.1492
14.45,252750888.1492
15.13,252750988.1492
15.51,252751088.1492
15.07,252751188.1492
14.9,252751288.1492
14.24,252751388.1492
15.28,252751488.1492
15.12,252751588.1492
15.37,252751688.1492
16.02,252751788.1492
15.77,252751888.1492
16.04,252751988.1492
16.11,252752088.1492
15.91,252752188.1492
16.65,252752288.1492
16.86,252752388.1492
16.96,252752488.1492
16.62,252752588.1492
16.43,252752688.1492
17.33,252752788.1492
16.79,252752888.1492
16.47,252752988.1492
16.26,252753088.1492
17.03,252753188.1492
17.09,252753288.1492
16.64,252753388.1492
17.38,252753488.1492
