TIME,RATE,SOURCE,BACK,FRACEXP,S_B,SBF,F2,SF,SF2
361137756.1827,2.549474,1.02,0.025,0.8654194,0.995,2.36412236057406,0.927298086026395,2.42352241988496,2.61353113567839
361137956.1827,2.973723,1.22,0.05,0.865986,1.17,2.78149832630646,0.935358917527443,2.90036577614862,3.10080517948718
361138156.1827,2.366089,0.945,0.03,0.8638967,0.915,2.17073427587064,0.917435597676438,2.24190589147296,2.44366568852459
361138356.1827,2.37857,0.955,0.04,0.8609989,0.915,2.16445302738239,0.909980798287372,2.2590739247543,2.48255120218579
361138556.1827,2.337908,0.935,0.02,0.8635931,0.915,2.17007534097587,0.92821246215671,2.21750868176223,2.38900981420765
361138756.1827,2.705657,1.085,0.04,0.8657198,1.045,2.4836684611495,0.917953924370125,2.5787371103801,2.80922281818182
361138956.1827,2.457758,0.985,0.05,0.86105,0.935,2.21187650006971,0.899956993353175,2.33015866584884,2.58918890909091
361139156.1827,2.66818,1.085,0.055,0.8671552,1.03,2.45153412544208,0.918803875841239,2.58244128748025,2.81065563106796
361139356.1827,2.660483,1.07,0.025,0.8663636,1.045,2.48526796172878,0.934141643351518,2.544724133062,2.72413091866029
361139556.1827,2.602656,1.045,0.02,0.8681206,1.025,2.4419898337355,0.938268381889693,2.48963841585717,2.65343953170732
361139756.1827,2.355422,0.98,0.055,0.8663504,0.925,2.19984930112687,0.933951241487459,2.33065115146415,2.49547411891892
361139956.1827,2.407037,0.97,0.035,0.8632084,0.935,2.2166557702404,0.920906396636364,2.29963218944726,2.49713998930481
361140156.1827,2.710897,1.1,0.05,0.8615937,1.05,2.48527635884869,0.916772698796263,2.6036228521272,2.83998733333333
361140356.1827,3.099086,1.25,0.035,0.8714559,1.215,2.90432201287825,0.937154378057998,2.98798560995704,3.18836008230453
361140556.1827,2.73324,1.115,0.045,0.8613619,1.07,2.53202796404827,0.926383326765404,2.63851512141479,2.84818934579439
361140756.1827,2.683946,1.075,0.025,0.8710309,1.05,2.50884142814511,0.934758533944093,2.56857574786285,2.74784947619048
361140956.1827,3.175998,1.28,0.035,0.8645388,1.245,2.95551917722114,0.930579672034157,3.03860606172133,3.26528308433735
361141156.1827,2.923671,1.205,0.08,0.8621507,1.125,2.66427968933509,0.911278898800544,2.85373957835447,3.13157649333333
361141356.1827,3.479002,1.41,0.045,0.8654803,1.365,3.24344075790309,0.932290570083918,3.3503673762955,3.59369437362637
361141556.1827,3.663594,1.465,0.035,0.8659742,1.43,3.39956895033538,0.927932775939523,3.48277518338555,3.75326238461538
361141756.1827,3.275206,1.315,0.035,0.865007,1.28,3.04002907017971,0.92819476704052,3.12315486506744,3.3647624140625
361141956.1827,3.383052,1.38,0.05,0.8674019,1.33,3.16635423434879,0.935946073057342,3.28539010782055,3.51023440601504
361142156.1827,3.514563,1.365,0.025,0.8519768,1.34,3.14133042986844,0.893803989249428,3.19993734087345,3.58013320522388
361142356.1827,3.578352,1.42,0.015,0.869335,1.405,3.35138034007908,0.936570896345324,3.38716020136106,3.61655504626334
361142556.1827,3.89271,1.545,0.02,0.8615292,1.525,3.60933523536382,0.927203730913379,3.65667077943416,3.94376193442623
361142756.1827,3.446312,1.385,0.035,0.8664168,1.35,3.21080406222663,0.931663779201254,3.29404713050658,3.53566082962963
361142956.1827,3.53764,1.43,0.035,0.8688543,1.395,3.32592794133622,0.940154436668576,3.40937416208659,3.62639799283154
361143156.1827,3.459414,1.355,0.02,0.8587728,1.335,3.15095030621372,0.910833541811915,3.19815555424689,3.51124042696629
361143356.1827,4.16593,1.645,0.035,0.8613045,1.61,3.80965517196353,0.914478921144505,3.89247376265839,4.25649369565217
361143556.1827,3.797111,1.525,0.045,0.8624861,1.48,3.50618372369073,0.923381940557105,3.61279066123538,3.91256369932432
361143756.1827,3.785673,1.53,0.04,0.8641379,1.49,3.53570961856737,0.933971216892577,3.63062799758932,3.88730180536913
361143956.1827,4.051703,1.62,0.035,0.8613322,1.585,3.75060292601508,0.925685551486641,3.83342381081667,4.14117278233439
361144156.1827,4.184551,1.67,0.03,0.8648771,1.64,3.89453131369051,0.93069275859955,3.96577274016046,4.26109766463415
361144356.1827,3.915085,1.555,0.03,0.8602691,1.525,3.6047899763756,0.92074373260749,3.6757038775502,3.99210306557377
361144556.1827,3.939426,1.575,0.04,0.8667202,1.535,3.6519109591406,0.927016006682344,3.74707476263612,4.04208205211726
361144756.1827,3.819014,1.51,0.03,0.8561319,1.48,3.48397536397672,0.912270906568218,3.55459648621949,3.89642644594595
